TYPEID,GROUPID,TYPENAME,MARKETGROUPID
7167,53,Tachyon Modal Laser I,569
7169,53,Tachyon Afocal Maser I,569
7171,53,Tachyon Modulated Energy Beam I,569
7173,53,Tachyon Anode Particle Stream I,569
7217,289,Spot Pulsing ECCM I,686
7218,289,Piercing ECCM Emitter I,686
7219,289,Scattering ECCM Projector I,686
7220,289,Phased Muon ECCM Caster I,686
7247,74,75mm Prototype Gauss Gun,564
7249,74,75mm 'Scout' Accelerator Cannon,564
7251,74,75mm Carbide Railgun I,564
7253,74,75mm Compressed Coil Gun I,564
7287,74,150mm Prototype Gauss Gun,564
7289,74,150mm 'Scout' Accelerator Cannon,564
7291,74,150mm Carbide Railgun I,564
7293,74,150mm Compressed Coil Gun I,564
7327,74,Dual 150mm Prototype Gauss Gun,565
7329,74,Dual 150mm 'Scout' Accelerator Cannon,565
7331,74,Dual 150mm Carbide Railgun I,565
7333,74,Dual 150mm Compressed Coil Gun I,565
7367,74,250mm Prototype Gauss Gun,565
7369,74,250mm 'Scout' Accelerator Cannon,565
7371,74,250mm Carbide Railgun I,565
7373,74,250mm Compressed Coil Gun I,565
7407,74,Dual 250mm Prototype Gauss Gun,566
7409,74,Dual 250mm 'Scout' Accelerator Cannon,566
7411,74,Dual 250mm Carbide Railgun I,566
7413,74,Dual 250mm Compressed Coil Gun I,566
7447,74,425mm Prototype Gauss Gun,566
7449,74,425mm 'Scout' Accelerator Cannon,566
7451,74,425mm Carbide Railgun I,566
7453,74,425mm Compressed Coil Gun I,566
7487,74,Modal Light Electron Particle Accelerator I,561
7489,74,Limited Light Electron Blaster I,561
7491,74,Regulated Light Electron Phase Cannon I,561
7493,74,Anode Light Electron Particle Cannon I,561
7535,74,Modal Light Ion Particle Accelerator I,561
7537,74,Limited Light Ion Blaster I,561
7539,74,Regulated Light Ion Phase Cannon I,561
7541,74,Anode Light Ion Particle Cannon I,561
7579,74,Modal Light Neutron Particle Accelerator I,561
7581,74,Limited Light Neutron Blaster I,561
7583,74,Regulated Light Neutron Phase Cannon I,561
7585,74,Anode Light Neutron Particle Cannon I,561
7619,74,Modal Electron Particle Accelerator I,562
7621,74,Limited Electron Blaster I,562
7623,74,Regulated Electron Phase Cannon I,562
7625,74,Anode Electron Particle Cannon I,562
7663,74,Modal Ion Particle Accelerator I,562
7665,74,Limited Ion Blaster I,562
7667,74,Regulated Ion Phase Cannon I,562
7669,74,Anode Ion Particle Cannon I,562
7703,74,Modal Neutron Particle Accelerator I,562
7705,74,Limited Neutron Blaster I,562
7707,74,Regulated Neutron Phase Cannon I,562
7709,74,Anode Neutron Particle Cannon I,562
7743,74,Modal Mega Electron Particle Accelerator I,563
7745,74,Limited Electron Blaster Cannon I,563
7747,74,Regulated Mega Electron Phase Cannon I,563
7749,74,Anode Mega Electron Particle Cannon I,563
7783,74,Modal Mega Neutron Particle Accelerator I,563
7785,74,Limited Mega Neutron Blaster I,563
7787,74,Regulated Mega Neutron Phase Cannon I,563
7789,74,Anode Mega Neutron Particle Cannon I,563
7827,74,Modal Mega Ion Particle Accelerator I,563
7829,74,Limited Mega Ion Blaster I,563
7831,74,Regulated Mega Ion Phase Cannon I,563
7833,74,Anode Mega Ion Particle Cannon I,563
7867,202,Supplemental Ladar ECCM Scanning Array I,726
7869,202,Supplemental Gravimetric ECCM Scanning Array I,725
7870,202,Supplemental Omni ECCM Scanning Array I,728
7887,202,Supplemental Radar ECCM Scanning Array I,729
7889,202,Supplemental Magnetometric ECCM Scanning Array I,727
7892,202,Prototype ECCM Radar Sensor Cluster,729
7893,202,Prototype ECCM Ladar Sensor Cluster,726
7895,202,Prototype ECCM Gravimetric Sensor Cluster,725
7896,202,Prototype ECCM Omni Sensor Cluster,728
7914,202,Prototype ECCM Magnetometric Sensor Cluster,727
7917,202,Alumel Radar ECCM Sensor Array I,729
7918,202,Alumel Ladar ECCM Sensor Array I,726
7922,202,Alumel Gravimetric ECCM Sensor Array I,725
7926,202,Alumel Omni ECCM Sensor Array I,728
7937,202,Alumel Magnetometric ECCM Sensor Array I,727
7948,202,Gravimetric Positional ECCM Sensor System I,725
7964,202,Radar Positional ECCM Sensor System I,729
7965,202,Omni Positional ECCM Sensor System I,728
7966,202,Ladar Positional ECCM Sensor System I,726
7970,202,Magnetometric Positional ECCM Sensor System I,727
7993,509,Experimental TE-2100 Light Missile Launcher,
7997,510,XR-3200 Heavy Missile Bay,642
8001,508,Experimental ZW-4100 Torpedo Launcher,644
8007,511,Experimental SV-2000 Rapid Light Missile Launcher,641
8023,511,Upgraded 'Malkuth' Rapid Light Missile Launcher,641
8025,511,Limited 'Limos' Rapid Light Missile Launcher,641
8027,511,Prototype 'Arbalest' Rapid Light Missile Launcher,641
8089,509,Arbalest Compact Light Missile Launcher,640
8091,509,TE-2100 Ample Light Missile Launcher,640
8093,509,Prototype 'Arbalest' Light Missile Launcher,
8101,510,'Malkuth' Heavy Missile Launcher I,642
8103,510,Advanced 'Limos' Heavy Missile Bay I,642
8105,510,'Arbalest' Heavy Missile Launcher,642
8113,508,Upgraded 'Malkuth' Torpedo Launcher,644
8115,508,Limited 'Limos' Torpedo Launcher,644
8117,508,Prototype 'Arbalest' Torpedo Launcher,644
8131,768,Local Power Plant Manager: Capacitor Flux I,
8133,768,Mark I Compact Capacitor Flux Coil,666
8135,768,Type-D Restrained Capacitor Flux Coil,666
8137,768,Mark I Generator Refitting: Capacitor Flux,
8163,768,Partial Power Plant Manager: Capacitor Flux,
8165,768,Alpha Reactor Control: Capacitor Flux,
8167,768,Type-E Power Core Modification: Capacitor Flux,
8169,768,Marked Generator Refitting: Capacitor Flux,
8171,767,Local Power Plant Manager: Capacity Power Relay I,
8173,767,Beta Reactor Control: Capacitor Power Relay I,
8175,767,Type-D Restrained Capacitor Power Relay,667
8177,767,Mark I Compact Capacitor Power Relay,667
8203,767,Partial Power Plant Manager: Capacity Power Relay,
8205,767,Alpha Reactor Control: Capacitor Power Relay,
8207,767,Type-E Power Core Modification: Capacitor Power Relay,
8209,767,Marked Generator Refitting: Capacitor Power Relay,
8211,766,Partial Power Plant Manager: Diagnostic System,
8213,766,Alpha Reactor Control: Diagnostic System,
8215,766,Type-E Power Core Modification: Diagnostic System,
8217,766,Marked Generator Refitting: Diagnostic System,
8219,766,Local Power Plant Manager: Diagnostic System I,
8221,766,Beta Reactor Control: Diagnostic System I,
8223,766,Type-D Power Core Modification: Diagnostic System,
8225,766,Mark I Compact Power Diagnostic System,658
8251,769,Partial Power Plant Manager: Reaction Control,
8253,769,Alpha Reactor Control: Reaction Control,
8255,766,Type-E Power Core Modification: Reaction Control,
8257,769,Marked Generator Refitting: Reaction Control,
8259,769,Local Power Plant Manager: Reaction Control I,
8261,769,Beta Reactor Control: Reaction Control I,
8263,769,Mark I Compact Reactor Control Unit,659
8265,769,Mark I Generator Refitting: Reaction Control,
8291,770,Local Power Plant Manager: Reaction Shield Flux I,687
8293,770,Beta Reactor Control: Shield Flux I,687
8295,770,Type-D Power Core Modification: Shield Flux,687
8297,770,Mark I Generator Refitting: Shield Flux,687
8323,770,Partial Power Plant Manager: Shield Flux,687
8325,770,Alpha Reactor Shield Flux,687
8327,770,Type-E Power Core Modification: Shield Flux,687
8329,770,Marked Generator Refitting: Shield Flux,687
8331,57,Local Power Plant Manager: Reaction Shield Power Relay I,688
8333,57,Beta Reactor Control: Shield Power Relay I,688
8335,57,Type-D Power Core Modification: Shield Power Relay,688
8337,57,Mark I Generator Refitting: Shield Power Relay,688
8339,57,Partial Power Plant Manager: Shield Power Relay,688
8341,57,Alpha Reactor Shield Power Relay,688
8343,57,Type-E Power Core Modification: Shield Power Relay,688
8345,57,Marked Generator Refitting: Shield Power Relay,688
8387,38,Micro Subordinate Screen Stabilizer I,
8397,38,Medium Subordinate Screen Stabilizer I,
8401,38,Small Subordinate Screen Stabilizer I,
8409,38,Large Subordinate Screen Stabilizer I,
8419,38,Large Azeotropic Restrained Shield Extender,608
8427,38,Small Azeotropic Restrained Shield Extender,605
8433,38,Medium Azeotropic Restrained Shield Extender,606
8437,38,Micro Azeotropic Ward Salubrity I,
8465,38,Micro Supplemental Barrier Emitter I,
8477,38,Medium Supplemental Barrier Emitter I,
8481,38,Small Supplemental Barrier Emitter I,
8489,38,Large Supplemental Barrier Emitter I,
8505,38,Micro F-S9 Regolith Shield Induction,
8517,38,Medium F-S9 Regolith Compact Shield Extender,606
8521,38,Small F-S9 Regolith Compact Shield Extender,605
8529,38,Large F-S9 Regolith Compact Shield Extender,608
8531,41,Small Murky Remote Shield Booster,603
8533,41,Small 'Atonement' Remote Shield Booster,603
8535,41,Small Asymmetric Remote Shield Booster,603
8537,41,Small S95a Remote Shield Booster,603
8579,41,Medium Murky Remote Shield Booster,602
8581,41,Medium 'Atonement' Remote Shield Booster,602
8583,41,Medium Asymmetric Remote Shield Booster,602
8585,41,Medium S95a Remote Shield Booster,602
8627,41,Micro Murky Remote Shield Booster,604
8629,41,Micro 'Atonement' Remote Shield Booster,604
8631,41,Micro Asymmetric Remote Shield Booster,604
8633,41,Micro S95a Remote Shield Booster,604
8635,41,Large Murky Remote Shield Booster,601
8637,41,Large 'Atonement' Remote Shield Booster,601
8639,41,Large Asymmetric Remote Shield Booster,601
8641,41,Large S95a Remote Shield Booster,601
8683,41,X-Large Murky Remote Shield Booster,
8685,41,X-Large 'Atonement' Remote Shield Booster,
8687,41,X-Large Asymmetric Remote Shield Booster,
8689,41,X-Large S95a Remote Shield Booster,
8743,285,Nanomechanical CPU Enhancer,
8744,285,Nanoelectrical Co-Processor,
8745,285,Photonic CPU Enhancer,
8746,285,Quantum Co-Processor,
8747,285,Nanomechanical CPU Enhancer I,
8748,285,Photonic Upgraded Co-Processor,676
8749,285,Photonic CPU Enhancer I,
8750,285,Quantum Co-Processor I,
8759,55,125mm Light 'Scout' Autocannon I,574
8785,55,125mm Light Carbine Repeating Cannon I,574
8787,55,125mm Light Gallium Machine Gun,574
8789,55,125mm Light Prototype Automatic Cannon,574
8815,55,150mm Light 'Scout' Autocannon I,574
8817,55,150mm Light Carbine Repeating Cannon I,574
8819,55,150mm Light Gallium Machine Gun,574
8821,55,150mm Light Prototype Automatic Cannon,574
8863,55,200mm Light 'Scout' Autocannon I,574
8865,55,200mm Light Carbine Repeating Cannon I,574
8867,55,200mm Light Gallium Machine Gun,574
8869,55,200mm Light Prototype Automatic Cannon,574
8903,55,250mm Light 'Scout' Artillery I,577
8905,55,250mm Light Carbine Howitzer I,577
8907,55,250mm Light Gallium Cannon,577
8909,55,250mm Light Prototype Siege Cannon,577
9071,55,Dual 180mm 'Scout' Autocannon I,575
9073,55,Dual 180mm Carbine Repeating Cannon I,575
9091,55,Dual 180mm Gallium Machine Gun,575
9093,55,Dual 180mm Prototype Automatic Cannon,575
9127,55,220mm Medium 'Scout' Autocannon I,575
9129,55,220mm Medium Carbine Repeating Cannon I,575
9131,55,220mm Medium Gallium Machine Gun,575
9133,55,220mm Medium Prototype Automatic Cannon,575
9135,55,425mm Medium 'Scout' Autocannon I,575
9137,55,425mm Medium Carbine Repeating Cannon I,575
9139,55,425mm Medium Gallium Machine Gun,575
9141,55,425mm Medium Prototype Automatic Cannon,575
9207,55,650mm Medium 'Scout' Artillery I,578
9209,55,650mm Medium Carbine Howitzer I,578
9211,55,650mm Medium Gallium Cannon,578
9213,55,650mm Medium Prototype Siege Cannon,578
9247,55,Dual 425mm 'Scout' Autocannon I,576
9249,55,Dual 425mm Carbine Repeating Cannon I,576
9251,55,Dual 425mm Gallium Machine Gun,576
9253,55,Dual 425mm Prototype Automatic Cannon,576
9287,55,Dual 650mm 'Scout' Repeating Cannon I,576
9289,55,Dual 650mm Carbine Repeating Cannon I,576
9291,55,Dual 650mm Gallium Repeating Cannon,576
9293,55,Dual 650mm Prototype Automatic Cannon,576
9327,55,800mm Heavy 'Scout' Repeating Cannon I,576
9329,55,800mm Heavy Carbine Repeating Cannon I,576
9331,55,800mm Heavy Gallium Repeating Cannon,576
9333,55,800mm Heavy Prototype Automatic Cannon,576
9367,55,1200mm Heavy 'Scout' Artillery I,579
9369,55,1200mm Heavy Carbine Howitzer I,579
9371,55,1200mm Heavy Gallium Cannon,579
9373,55,1200mm Heavy Prototype Artillery,579
9377,55,1200mm Heavy Prototype Siege Cannon,579
9411,55,280mm 'Scout' Artillery I,577
9413,55,280mm Carbine Howitzer I,577
9415,55,280mm Gallium Cannon,577
9417,55,280mm Prototype Siege Cannon,577
9419,55,720mm 'Probe' Artillery I,
9421,55,720mm Cordite Howitzer I,
9451,55,720mm 'Scout' Artillery I,578
9453,55,720mm Carbine Howitzer I,578
9455,55,720mm Gallium Cannon,578
9457,55,720mm Prototype Siege Cannon,578
9491,55,1400mm 'Scout' Artillery I,579
9493,55,1400mm Carbine Howitzer I,579
9495,55,1400mm Gallium Cannon,579
9497,55,1400mm Prototype Siege Cannon,579
9518,201,Initiated Ion Field ECM I,715
9519,201,FZ-3 Subversive Spatial Destabilizer ECM,717
9520,201,'Penumbra' White Noise ECM,718
9521,201,Initiated Multispectral ECM I,719
9522,201,Faint Phase Inversion ECM I,716
9556,295,Upgraded Explosive Deflection Amplifier I,1690
9562,295,Supplemental EM Ward Amplifier,1691
9566,295,Supplemental Thermic Dissipation Amplifier,1688
9568,295,Upgraded Thermic Dissipation Amplifier I,1688
9570,295,Supplemental Kinetic Deflection Amplifier,1689
9574,295,Supplemental Explosive Deflection Amplifier,1690
9580,295,Upgraded EM Ward Amplifier I,1691
9582,295,Upgraded Kinetic Deflection Amplifier I,1689
9608,77,Limited Kinetic Deflection Field I,1693
9622,77,Limited 'Anointed' EM Ward Field,1695
9632,77,Limited Adaptive Invulnerability Field I,1696
9646,77,Limited Explosive Deflection Field I,1694
9660,77,Limited Thermic Dissipation Field I,1692
9668,72,Large Rudimentary Concussion Bomb I,381
9670,72,Small Rudimentary Concussion Bomb I,382
9678,72,Large 'Vehemence' Shockwave Charge,381
9680,72,Small 'Vehemence' Shockwave Charge,382
9702,72,Micro Rudimentary Concussion Bomb I,380
9706,72,Micro 'Vehemence' Shockwave Charge,380
9728,72,Medium Rudimentary Concussion Bomb I,383
9734,72,Medium 'Vehemence' Shockwave Charge,383
9744,72,Small 'Notos' Explosive Charge I,382
9750,72,Micro 'Notos' Explosive Charge I,380
9762,72,Medium 'Notos' Explosive Charge I,383
9772,72,Large 'Notos' Explosive Charge I,381
9784,72,Small YF-12a Smartbomb,382
9790,72,Micro YF-12a Smartbomb,380
9800,72,Medium YF-12a Smartbomb,383
9808,72,Large YF-12a Smartbomb,381
9826,280,Carbon,20
9828,1042,Silicon,1334
9830,1034,Rocket Fuel,1335
9832,1034,Coolant,1335
9834,1040,Guidance Systems,1336
9836,1034,Consumer Electronics,1335
9838,1034,Superconductors,1335
9840,1034,Transmitter,1335
9842,1034,Miniature Electronics,1335
9844,280,Small Arms,492
9846,1040,Planetary Vehicles,1336
9848,1040,Robotics,1336
9850,280,Spirits,492
9852,280,Tobacco,492
9854,237,Polaris Inspector Frigate,
9856,15,Amarr Class A Starport,
9857,15,Amarr Class B Starport,
9858,237,Polaris Centurion TEST,
9860,237,Polaris Legatus Frigate,
9862,237,Polaris Centurion Frigate,
9867,15,Heaven,
9868,15,Concord Starbase,
9869,298,Loiterer I,
9871,299,Repair Drone,
9873,15,Dark Amarr Station O,
9875,226,Minmatar Trade Station Ruins,
9876,226,Fortified Amarr Commercial Station Ruins,
9877,226,Amarr Military Station Ruins,
9878,226,Amarr Mining Station Ruins,
9879,226,Amarr Research Station Ruins,
9880,226,Amarr Trade Station Ruins,
9881,226,Fortified Caldari Station Ruins - Huge & Sprawling,
9882,226,Caldari Station Ruins - Hook Shaped,
9883,226,Fortified Caldari Station Ruins - Flat Hulk,
9884,226,Caldari Station Ruins - Industry Drill,
9885,226,Gallente Station Ruins - Disc,
9886,226,Gallente Station Ruins - Fathom,
9887,226,Gallente Station Ruins - Ugly Industrial,
9888,226,Gallente Station Ruins - Biodomes,
9889,226,Gallente Station Ruins - Factory,
9890,226,Gallente Station Ruins - Military,
9891,226,Gallente Station Ruins - Research,
9892,226,Gallente Station Ruins - Commercial,
9893,226,Minmatar Commercial Station Ruins,
9894,226,Minmatar Industry Station Ruins,
9895,226,Minmatar Military Station Ruins,
9896,226,Minmatar Mining Station Ruins,
9897,226,Minmatar Research Station Ruins,
9898,226,Minmatar General Station Ruins,
9899,745,Ocular Filter - Basic,618
9917,23,Clone Grade Delta,
9919,23,Clone Grade Epsilon,
9921,23,Clone Grade Zeta,
9923,23,Clone Grade Eta,
9925,23,Clone Grade Theta,
9927,23,Clone Grade Iota,
9929,23,Clone Grade Kappa,
9931,23,Clone Grade Lambda,
9933,23,Clone Grade Mu,
9935,23,Clone Grade Nu,
9937,23,Clone Grade Xi,
9939,23,Clone Grade Omicron,
9941,745,Memory Augmentation - Basic,619
9942,745,Neural Boost - Basic,620
9943,745,Cybernetic Subprocessor - Basic,621
9944,302,Magnetic Field Stabilizer I,648
9945,139,Magnetic Field Stabilizer I Blueprint,343
9947,303,Standard Crash Booster,977
9950,303,Standard Blue Pill Booster,977
9955,257,Polaris,
9956,745,Social Adaptation Chip - Basic,622
9957,742,Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,1499
9959,182,Amarr Surveillance Officer,
9960,182,Amarr Surveillance Sergeant Major,
9962,182,Amarr Surveillance Sergeant,
9965,182,Caldari Police Vice Commissioner,
9970,182,Caldari Police 3rd Lieutenant,
9971,182,Caldari Police 1st Lieutenant,
9977,182,Minmatar Security Officer 2nd Rank,
9978,182,Minmatar Security Officer 1st Rank,
9983,182,Gallente Police Master Sergeant,
9984,182,Gallente Police Captain,
9987,182,Khanid Surveillance Officer,
9988,182,Khanid Surveillance Sergeant,
9989,182,Minmatar Security Officer 3rd Rank,
9991,182,Gallente Police Sergeant,
9997,288,Imperial Navy Sergeant Major,
9998,288,Imperial Navy Sergeant,
9999,288,Imperial Navy Captain,
10000,288,Imperial Navy Major,
10001,288,Imperial Navy Colonel,
10003,288,Imperial Navy General,
10013,550,Angel Hijacker,
10014,550,Angel Outlaw,
10015,550,Angel Nomad,
10016,550,Angel Raider,
10017,551,Angel Depredator,
10018,551,Angel Smasher,
10019,550,Angel Hunter,
10025,567,Sansha's Servant,
10026,567,Sansha's Scavenger,
10027,567,Sansha's Savage,
10028,567,Sansha's Plague,
10030,566,Sansha's Ravager,
10035,182,CONCORD SWAT Officer,
10036,182,CONCORD SWAT Captain,
10037,301,DED Special Operation Officer,
10038,301,DED Special Operation Captain,
10039,40,Civilian Shield Booster,609
10040,120,Civilian Shield Booster Blueprint,1552
10041,226,Frozen Corpse,
10043,297,Peddler,
10044,297,Column,
10045,297,Vanguard,
10046,288,Caldari Navy Captain 2nd Rank,
10047,288,Caldari Navy Captain 1st Rank,
10048,288,Caldari Navy Commodore,
10050,288,Caldari Navy Vice Admiral,
10052,288,Federation Navy Command Sergeant Major,
10053,288,Federation Navy Fleet Captain,
10054,288,Federation Navy Sergeant Major,
10056,288,Federation Navy Fleet Major,
10057,288,Federation Navy Fleet Colonel,
10058,288,Republic Fleet Private 3rd Rank,
10060,288,Republic Fleet Captain,
10065,227,Dark Cloud,
10066,227,Dark Green Cloud,
10067,227,Dust Cloud,
10068,227,Ion Cloud,
10069,227,Spark Cloud,
10071,305,Toxic Comet,
10073,305,Gold Comet,
10076,288,Khanid Navy Sergeant,
10077,288,Republic Fleet Commander,
10078,288,Republic Fleet High Captain,
10079,288,Khanid Navy Sergeant Major,
10080,288,Khanid Navy Major,
10082,288,Khanid Navy Colonel,
10083,288,Khanid Navy General,
10084,288,Ammatar Navy Sergeant,
10085,288,Ammatar Navy Sergeant Major,
10086,288,Ammatar Navy Major,
10089,288,Ammatar Navy General,
10090,288,Sarum Navy Sergeant,
10091,288,Sarum Navy Major,
10092,288,Sarum Navy Captain,
10095,288,Sarum Navy General,
10097,182,Ammatar Surveillance Officer,
10099,182,Ammatar Surveillance Sergeant Major,
10100,182,Ammatar Surveillance Sergeant,
10102,182,Sarum Surveillance Officer,
10104,182,Sarum Surveillance Sergeant Major,
10105,182,Sarum Surveillance Sergeant,
10106,288,Intaki Defense Sergeant Major,
10107,288,Intaki Defense Command Sergeant Major,
10108,288,Intaki Defense Fleet Captain,
10109,288,Intaki Defense Fleet Colonel,
10110,826,Thukker Follower,
10111,288,Thukker Brute,
10112,288,Thukker Warrior,
10113,288,Thukker Tribal Lord,
10114,297,Tradesman,
10115,297,Merchant,
10116,297,Trafficker,
10117,297,Caravan,
10118,297,Flotilla,
10119,226,Outpost/Disc - Spiky & Pulsating,
10120,226,Rock - Infested by Rogue Drones,
10121,226,Small Asteroid w/Drone-tech,
10122,226,Multi-purpose Pad,
10123,226,Pulsating Power Generator,
10124,226,Beacon,
10125,288,Mordu's Lieutenant 3rd Rank,
10126,288,Mordu's Lieutenant 2nd Rank,
10127,226,Magnetic Double-Capped Bubble,
10128,227,Dark Gray Cloud,
10129,227,Dark Gray Turbulent Cloud,
10130,227,Electric Cloud,
10131,227,Fire Cloud,
10132,227,Plasma Cloud,
10133,288,Mordu's Lieutenant,
10134,288,Mordu's Captain,
10135,226,Depleted Station Battery,
10136,226,Black Monolith,
10137,226,Rock Formation - Branched & Twisted,
10138,226,Spaceshuttle Wreck,
10139,226,Circular Construction,
10140,226,Debris - Broken Engine Part 1,
10141,226,Debris - Broken Engine Part 2,
10142,226,Debris - Power Conduit,
10143,226,Debris - Twisted Metal,
10144,226,Scanner Sentry - Rapid Pulse,
10151,303,Improved Crash Booster,977
10152,303,Strong Crash Booster,977
10155,303,Improved Blue Pill Booster,977
10156,303,Strong Blue Pill Booster,977
10164,303,Standard Sooth Sayer Booster,977
10165,303,Improved Sooth Sayer Booster,977
10166,303,Strong Sooth Sayer Booster,977
10167,306,Abandoned Container,
10188,302,Basic Magnetic Field Stabilizer,648
10190,302,Magnetic Field Stabilizer II,648
10191,139,Magnetic Field Stabilizer II Blueprint,
10204,742,Zainou 'Deadeye' Sharpshooter ST-903,1501
10208,745,Memory Augmentation - Standard,619
10209,745,Memory Augmentation - Improved,619
10210,745,Memory Augmentation - Advanced,
10211,745,Memory Augmentation - Elite,
10212,745,Neural Boost - Standard,620
10213,745,Neural Boost - Improved,620
10214,745,Neural Boost - Advanced,
10215,745,Neural Boost - Elite,
10216,745,Ocular Filter - Standard,618
10217,745,Ocular Filter - Improved,618
10218,745,Ocular Filter - Advanced,
10219,745,Ocular Filter - Elite,
10221,745,Cybernetic Subprocessor - Standard,621
10222,745,Cybernetic Subprocessor - Improved,621
10223,745,Cybernetic Subprocessor - Advanced,
10224,745,Cybernetic Subprocessor - Elite,
10225,745,Social Adaptation Chip - Standard,622
10226,745,Social Adaptation Chip - Improved,622
10227,745,Social Adaptation Chip - Advanced,
10228,749,Zainou 'Gnome' Shield Management SM-703,1481
10231,306,Flotsam,
10232,227,Debris Cloud,
10233,227,Meteor Cloud,
10234,226,Gallente Outpost,
10235,226,Amarr Refining Outpost,
10236,226,Amarr Repair Outpost,
10237,226,Amarr Tactical Outpost,
10238,226,Caldari Refining Outpost,
10239,226,Caldari Repair Outpost,
10240,226,Caldari Tactical Outpost,
10241,226,Minmatar Refining Outpost,
10242,226,Minmatar Repair Outpost,
10243,226,Minmatar Tactical Outpost,
10244,1228,Zainou 'Gypsy' Signature Analysis SA-703,1765
10246,101,Mining Drone I,158
10247,177,Mining Drone I Blueprint,358
10248,101,Mining Drone - Improved,
10250,101,Mining Drone II,158
10251,177,Mining Drone II Blueprint,
10252,101,Mining Drone - Elite,
10256,226,Asteroid Mining Post,
10257,307,Gallente Administrative Outpost Platform,1864
10258,307,Minmatar Service Outpost Platform,1864
10260,307,Amarr Factory Outpost Platform,1864
10261,306,Drifting Cask,
10262,306,Forsaken Stockpile,
10263,306,Cache Container,
10264,257,Concord,
10265,561,Guristas Ascriber,
10266,562,Guristas Wrecker,
10267,226,Coral Rock Formation,
10269,226,Floating Stonehenge,
10270,226,Low-Tech Solar Harvester,
10273,567,Sansha's Minion,
10274,566,Sansha's Ravisher,
10275,557,Blood Follower,
10276,557,Blood Herald,
10277,557,Blood Upholder,
10278,557,Blood Seeker,
10279,557,Blood Collector,
10280,557,Blood Reaver,
10281,555,Blood Arch Reaver,
10282,555,Blood Arch Engraver,
10283,572,Serpentis Scout,
10284,572,Serpentis Watchman,
10285,572,Serpentis Guard,
10286,572,Serpentis Defender,
10287,571,Serpentis Chief Patroller,
10299,802,Alvus Controller,
10305,226,Ghost Ship,
10629,507,Rocket Launcher I,639
10630,136,Rocket Launcher I Blueprint,340
10631,507,Rocket Launcher II,639
10632,136,Rocket Launcher II Blueprint,
10642,308,Countermeasure Launcher I,
10643,136,Countermeasure Launcher I Blueprint,
10645,310,Celestial Beacon,
10646,314,Training Certificate,
10648,336,Sentinel Sentry Gun I,
10649,287,Training Drone,
10650,288,Ammatar Navy Captain,
10651,288,Caldari Navy Captain 3rd Rank,
10652,288,Federation Navy First Sergeant,
10653,288,Intaki Defense First Sergeant,
10654,288,Mordu's Lieutenant 1st Rank,
10655,288,Mordu's Legion,
10656,288,Sarum Navy Sergeant Major,
10657,288,Thukker Tribalist,
10658,288,Thukker Tribal Priest,
10660,182,Caldari Police 2nd Lieutenant,
10663,288,Republic Fleet Private 1st Rank,
10664,288,Republic Fleet Private 2nd Rank,
10665,336,Sentinel Sentry Gun II,
10666,336,Sentinel Sentry Gun III,
10667,336,Sentinel Sentry Gun IV,
10668,336,Sentinel Sentry Gun V,
10669,288,Ammatar Navy Colonel,
10670,288,Khanid Navy Captain,
10674,182,Khanid Surveillance Sergeant Major,
10676,288,Sarum Navy Colonel,
10677,288,Intaki Defense Fleet Major,
10678,74,125mm Railgun I,564
10679,154,125mm Railgun I Blueprint,291
10680,74,125mm Railgun II,564
10681,154,125mm Railgun II Blueprint,
10688,74,125mm 'Scout' Accelerator Cannon,564
10690,74,125mm Carbide Railgun I,564
10692,74,125mm Compressed Coil Gun I,564
10694,74,125mm Prototype Gauss Gun,564
10753,227,Soft Cloud,
10754,227,Wispy Orange Cloud,
10755,227,Sulphuric Cloud,
10756,227,Dust Streak,
10757,227,Plasmic Gas Cloud,
10758,227,Wispy Chlorine Cloud,
10759,227,Micro Nebula,
10760,227,Acidic Cloud,
10761,227,Nebulaic Cloud,
10762,227,Chlorine Cloud,
10763,227,Gaseous Cloud,
10764,227,Amber Cloud,
10765,227,Green Gas Cloud,
10766,336,Guardian Sentry Gun I,
10767,336,Guardian Sentry Gun II,
10768,336,Guardian Sentry Gun III,
10769,336,Guardian Sentry Gun IV,
10770,336,Guardian Sentry Gun V,
10771,226,Asteroid Colony - Factory,
10772,226,Asteroid Colony - Refinery,
10773,226,Asteroid Colony - Wedge Shape,
10774,226,Asteroid Colony - High & Massive,
10775,226,Asteroid Colony - Medium Size,
10778,226,Asteroid Colony - High & Medium Size,
10779,226,Asteroid Colony - Small Tower,
10780,226,Asteroid Colony - Small & Flat,
10781,226,Asteroid Colony - Flat Hulk,
10782,226,Giant Snake-Shaped Asteroid,
10783,226,Small Rock,
10784,226,Small and Sharded Rock,
10785,226,Sharded Rock,
10786,226,Tiny Rock,
10787,226,Snake Shaped Asteroid,
10788,226,Gas/Storage Silo,
10795,15,Jovian Construct,
10809,312,Thick White,
10810,312,Bllue faint,
10811,312,Blue quarter,
10812,312,White sharp hemisphere,
10813,312,Brown hemisphere,
10814,312,Faint hemisphere,
10815,312,White Crescent,
10816,312,Brown crescent,
10817,312,Brown quarter,
10818,312,Quarter shard,
10819,312,Bitter edge,
10820,312,Thin claw,
10821,312,White solid,
10822,312,White solid 2,
10823,297,Retailer,
10824,297,Chafferer,
10825,297,Trailer,
10826,297,Hauler,
10827,297,Trader,
